1,yes,no,1,1
2,yes,no,1,2
3,no,no,1,3
4,no,no,1,4
5,no,no,1,5
6,no,no,1,6
7,yes,no,1,7
8,no,no,1,8
9,no,no,1,9
10,yes,no,2,2
11,yes,no,2,7
12,no,no,3,1
13,yes,no,8,1
14,yes,no,11,2
15,yes,no,11,8
16,yes,no,11,10
17,yes,no,11,7
18,yes,no,11,1
19,yes,no,11,6
20,yes,no,12,1
21,yes,no,12,2
22,yes,yes,13,7
23,yes,yes,13,6
24,yes,no,15,3
25,yes,no,15,11
26,yes,no,15,2
27,yes,no,15,8
28,yes,no,15,12
29,yes,no,15,5
30,yes,no,15,10
31,yes,no,15,7
32,yes,no,15,1
33,yes,no,15,6
34,yes,no,15,13
35,no,no,16,2
36,no,no,16,7
37,no,no,16,1
38,no,no,16,6
39,yes,no,17,2
40,yes,no,17,6
41,yes,no,17,7
42,yes,no,17,1
43,yes,no,18,1
44,yes,no,18,2
45,yes,no,18,6
46,yes,yes,19,2
47,yes,yes,19,8
48,yes,yes,19,10
49,yes,yes,19,1
50,yes,yes,19,6
51,yes,yes,19,7
52,yes,no,20,2
53,yes,no,20,7
54,yes,no,20,1
55,yes,no,20,6
56,yes,no,21,1
57,no,no,21,5
58,yes,no,21,2
59,yes,no,22,2
60,yes,no,22,1
61,yes,no,23,1
62,yes,no,24,2
63,yes,no,24,1
64,yes,no,24,7
65,yes,no,25,1
66,yes,yes,26,2
67,yes,yes,26,1
68,yes,no,27,9
69,yes,no,27,3
70,no,no,,
71,yes,no,27,2
72,yes,no,27,14
73,yes,no,27,15
74,yes,no,27,5
75,yes,no,27,10
76,yes,no,27,7
77,yes,yes,27,1
78,yes,no,27,6
79,yes,yes,27,16
80,yes,yes,27,13
81,yes,no,28,2
82,yes,no,28,1
83,yes,no,28,6
84,yes,no,29,2
85,yes,no,29,1
86,yes,no,29,7
87,yes,no,29,6
88,yes,no,30,2
89,yes,no,31,2
90,yes,no,31,1
91,yes,no,34,1
92,yes,no,35,1
93,yes,no,38,2
94,no,no,38,1
95,yes,no,38,7
96,yes,no,39,1
97,no,no,40,1
98,no,no,40,2
99,no,no,40,17
100,yes,no,41,1
101,yes,no,41,2
102,yes,no,42,1
103,yes,no,43,1
104,yes,no,44,1
105,yes,no,44,2
106,yes,no,44,7
107,yes,no,45,1
108,no,no,,
109,yes,no,45,5
110,yes,no,45,2
111,yes,no,46,2
112,yes,no,46,1
113,yes,no,46,5
114,no,no,47,2
115,yes,no,48,1
116,yes,no,51,1
117,yes,no,52,2
118,yes,no,52,5
119,yes,no,53,2
120,yes,no,53,5
121,yes,no,54,1
122,yes,no,57,5
123,no,no,63,1
124,yes,yes,66,18
125,yes,no,67,18
126,no,no,68,1
127,yes,no,68,18
128,yes,no,69,5
129,yes,no,70,5
130,yes,no,70,18
131,yes,yes,13,2
132,yes,yes,13,8
133,yes,yes,13,10
134,yes,yes,13,1
135,yes,yes,66,21
136,yes,yes,66,22
137,yes,no,39,20
138,yes,no,39,13
139,yes,no,39,2
140,yes,no,39,7
141,yes,no,39,5
142,yes,no,71,19
143,no,no,72,21
144,no,no,72,22
145,no,no,72,3
146,no,no,72,18
147,no,no,72,11
148,no,no,72,2
149,no,no,72,23
150,no,no,72,24
151,no,no,72,14
152,no,no,72,5
153,no,no,72,10
154,no,no,72,7
155,no,no,72,1
156,no,no,72,6
157,no,no,72,25
158,no,no,72,13
159,yes,yes,10,1
160,yes,no,10,7
161,yes,yes,10,2
162,yes,no,10,10
163,yes,no,10,6
166,yes,yes,58,18
167,yes,no,73,18
168,yes,no,74,21
169,yes,no,74,18
